headline,category,url,scraped_at,headline_clean,date,hour,polarity,subjectivity,sentiment
"Governor Barasa urges unity on development, warns against politicising mega projects",Counties,https://www.standardmedia.co.ke/western/article/2001542370/governor-barasa-urges-unity-on-development-warns-against-politicising-mega-projects,2026-03-06 12:00:00,"Governor Barasa urges unity on development, warns against politicising mega projects",2026-03-06,12,0.0,0.0,Neutral
"VIDEO: Burial preparations underway for MP Johana Ng'eno, four others",Counties,https://www.standardmedia.co.ke/rift-valley/article/2001542369/video-burial-preparations-underway-for-mp-johana-ngeno-four-others,2026-03-06 12:00:00,"VIDEO Burial preparations underway for MP Johana Ng'eno, four others",2026-03-06,12,0.0,0.0,Neutral
State to launch large-scale manganese mining in Tana River,Counties,https://www.standardmedia.co.ke/coast/article/2001542352/state-to-launch-large-scale-manganese-mining-in-tana-river,2026-03-06 12:00:00,State to launch large-scale manganese mining in Tana River,2026-03-06,12,0.0,0.0,Neutral
Sakaja impeachment: Azimio MCAs disown plot remove governor from City Hall,Counties,https://www.standardmedia.co.ke/nairobi/article/2001542313/sakaja-impeachment-azimio-mcas-disown-plot-remove-governor-from-city-hall,2026-03-06 12:00:00,Sakaja impeachment Azimio MCAs disown plot remove governor from City Hall,2026-03-06,12,0.0,0.0,Neutral
Bungoma Woman Rep Wambilianga under probe over suspect NGAAF tenders,Counties,https://www.standardmedia.co.ke/western/article/2001542289/bungoma-woman-rep-wambilianga-under-probe-over-suspect-ngaaf-tenders,2026-03-06 12:00:00,Bungoma Woman Rep Wambilianga under probe over suspect NGAAF tenders,2026-03-06,12,0.0,0.0,Neutral
"UDA raids PAA, Jubilee in coast as leaders join President Ruto's side",Counties,https://www.standardmedia.co.ke/coast/article/2001542288/uda-raids-paa-jubilee-in-coast-as-leaders-join-president-rutos-side,2026-03-06 12:00:00,"UDA raids PAA, Jubilee in coast as leaders join President Ruto's side",2026-03-06,12,0.0,0.0,Neutral
High cost of living pushes up GBV cases in Naivasha,Counties,https://www.standardmedia.co.ke/rift-valley/article/2001542285/high-cost-of-living-pushes-up-gbv-cases-in-naivasha,2026-03-06 12:00:00,High cost of living pushes up GBV cases in Naivasha,2026-03-06,12,0.16,0.5399999999999999,Positive
KPA workers' union General Secretary Sang ousted after a 20-year tenure,Counties,https://www.standardmedia.co.ke/coast/article/2001542278/kpa-workers-union-general-secretary-sang-ousted-after-a-20-year-tenure,2026-03-06 12:00:00,KPA workers' union General Secretary Sang ousted after a 20-year tenure,2026-03-06,12,0.05000000000000002,0.5,Neutral
Trans Nzoia leadership faces court backlash for defying reinstatement order,Counties,https://www.standardmedia.co.ke/western/article/2001542265/trans-nzoia-leadership-faces-court-backlash-for-defying-reinstatement-order,2026-03-06 12:00:00,Trans Nzoia leadership faces court backlash for defying reinstatement order,2026-03-06,12,0.0,0.0,Neutral
"Western Kenya leaders reject deputy president debate, commit to Ruto's re-election",Counties,https://www.standardmedia.co.ke/western/article/2001542263/western-kenya-leaders-reject-deputy-president-debate-commit-to-rutos-re-election,2026-03-06 12:00:00,"Western Kenya leaders reject deputy president debate, commit to Ruto's re-election",2026-03-06,12,0.0,0.0,Neutral
"If you are a taxpayer in Western Kenya, here is why KRA is coming for you",Counties,https://www.standardmedia.co.ke/western/article/2001542192/if-you-are-a-taxpayer-in-western-kenya-here-is-why-kra-is-coming-for-you,2026-03-06 12:00:00,"If you are a taxpayer in Western Kenya, here is why KRA is coming for you",2026-03-06,12,0.0,0.0,Neutral
Sakaja impeachment resurfaces as MCAs adopt County-State agreement,Counties,https://www.standardmedia.co.ke/nairobi/article/2001542216/sakaja-impeachment-resurfaces-as-mcas-adopt-county-state-agreement,2026-03-06 12:00:00,Sakaja impeachment resurfaces as MCAs adopt County-State agreement,2026-03-06,12,0.0,0.0,Neutral
"Surrogate parents seek protection of court, release of three children",Counties,https://www.standardmedia.co.ke/nairobi/article/2001542210/surrogate-parents-seek-protection-of-court-release-of-three-children,2026-03-06 12:00:00,"Surrogate parents seek protection of court, release of three children",2026-03-06,12,0.0,0.0,Neutral
'Nandi chopper accident victim died in my arms',Counties,https://www.standardmedia.co.ke/rift-valley/article/2001542217/nandi-chopper-accident-victim-died-in-my-arms,2026-03-06 12:00:00,'Nandi chopper accident victim died in my arms',2026-03-06,12,-0.07500000000000001,0.05,Neutral
Nyanza leaders rally behind PS Omollo,Counties,https://www.standardmedia.co.ke/nyanza/article/2001542200/nyanza-leaders-rally-behind-ps-omollo,2026-03-06 12:00:00,Nyanza leaders rally behind PS Omollo,2026-03-06,12,-0.4,0.7,Negative
Freelance journalist murdered and body dumped in Naivasha,Counties,https://www.standardmedia.co.ke/rift-valley/article/2001542191/freelance-journalist-murdered-and-body-dumped-in-naivasha,2026-03-06 12:00:00,Freelance journalist murdered and body dumped in Naivasha,2026-03-06,12,0.0,0.0,Neutral
"Elders want MP-elect Tubi Jr, his sister to 'reconcile' after by-election",Counties,https://www.standardmedia.co.ke/north-eastern/article/2001542190/elders-want-mp-elect-tubi-jr-his-sister-to-reconcile-after-by-election,2026-03-06 12:00:00,"Elders want MP-elect Tubi Jr, his sister to 'reconcile' after by-election",2026-03-06,12,0.0,0.0,Neutral
Siaya men trained on parenting and sharing responsibilities,Counties,https://www.standardmedia.co.ke/nyanza/article/2001542181/siaya-men-trained-on-parenting-and-sharing-responsibilities,2026-03-06 12:00:00,Siaya men trained on parenting and sharing responsibilities,2026-03-06,12,0.0,0.0,Neutral
"Rogue elephants kill three people, destroy crops in Samburu",Counties,https://www.standardmedia.co.ke/north-eastern/article/2001542177/rogue-elephants-kill-three-people-destroy-crops-in-samburu,2026-03-06 12:00:00,"Rogue elephants kill three people, destroy crops in Samburu",2026-03-06,12,-0.2,0.0,Negative
Police arrest five suspects linked to attack at Nyalenya police station,Counties,https://www.standardmedia.co.ke/western/article/2001542166/police-arrest-five-suspects-linked-to-attack-at-nyalenya-police-station,2026-03-06 12:00:00,Police arrest five suspects linked to attack at Nyalenya police station,2026-03-06,12,-0.05,0.0,Neutral
Ongata Rongai police accused of aiding land cartels,Counties,https://www.standardmedia.co.ke/rift-valley/article/2001542160/ongata-rongai-police-accused-of-aiding-land-cartels,2026-03-06 12:00:00,Ongata Rongai police accused of aiding land cartels,2026-03-06,12,0.0,0.0,Neutral
MP Johana Ng'eno to be buried on Friday,Counties,https://www.standardmedia.co.ke/rift-valley/article/2001542152/mp-johana-ngeno-to-be-buried-on-friday,2026-03-06 12:00:00,MP Johana Ng'eno to be buried on Friday,2026-03-06,12,0.0,0.0,Neutral
"Conferences, open skies policy boost Coast tourism numbers",Counties,https://www.standardmedia.co.ke/coast/article/2001542143/conferences-open-skies-policy-boost-coast-tourism-numbers,2026-03-06 12:00:00,"Conferences, open skies policy boost Coast tourism numbers",2026-03-06,12,0.0,0.5,Neutral
Project to cushion over 650 residents of Suba South from acute water shortage kicks off,Counties,https://www.standardmedia.co.ke/nyanza/article/2001542137/project-to-cushion-over-650-residents-of-suba-south-from-acute-water-shortage-kicks-off,2026-03-06 12:00:00,Project to cushion over 650 residents of Suba South from acute water shortage kicks off,2026-03-06,12,0.6,0.9,Positive
Nairobi Water banks on new 280km piping to increase supply,Counties,https://www.standardmedia.co.ke/nairobi/article/2001542093/nairobi-water-banks-on-new-280km-piping-to-increase-supply,2026-03-06 12:00:00,Nairobi Water banks on new 280km piping to increase supply,2026-03-06,12,0.13636363636363635,0.45454545454545453,Positive
